attribute_family,category_label,category_slug,definition_note,example_triggers,tier_bonus
spatial_jurisdiction,Internal Waters,internal_waters,,,1
spatial_jurisdiction,Coastal Zone,coastal_zone,,coastal,2
spatial_jurisdiction,Territorial sea (TS),territorial_sea_ts,,territorial waters,0
spatial_jurisdiction,Contiguous zone (CZ),contiguous_zone_cz,,,0
spatial_jurisdiction,Exclusive Economic Zone (EEZ),exclusive_economic_zone_eez,,,0
spatial_jurisdiction,Extended continental shelf (CS),extended_continental_shelf_cs,,,0
spatial_jurisdiction,The Area,the_area,,beyond national jurisdiction | international seabed area,9
spatial_jurisdiction,High Seas,high_seas,,areas beyond national jurisdiction; abnj | high seas; areas beyond national jurisdiction,8
spatial_jurisdiction,Archipelago,archipelago,,,3
spatial_jurisdiction,Enclosed or semi-enclosed sea,enclosed_or_semi_enclosed_sea,,,4
subject_matter_jurisdiction,Environmental Protection & Climate Change,environmental_protection_climate_change,,climate | climate; adaptation | climate; adaptation; mitigation | climate; emissions; adaptation; mitigation | climate; environment; environmental | environment | environment; climate | environment; emission,0
subject_matter_jurisdiction,Sustainable Development & Capacity Building,sustainable_development_capacity_building,,capacity building | capacity building; sustainable development | capacity development | capacity development; sustainable development | sdgs | sustainable development | technical assistance | technical assistance; capacity building; sustainable development,0
subject_matter_jurisdiction,International Cooperation & Governance,international_cooperation_governance,,convention | convention; international cooperation | convention; treaty | conventions | international cooperation | international cooperation; convention | multilateral; conventions | treaties; treaty,0
subject_matter_jurisdiction,"Research, Science & Innovation",research_science_innovation,,data | data; research; innovation | data; scientific; research; marine scientific research | innovation | innovation; monitoring | monitoring | observation; data; scientific; research; marine scientific research | research,0
subject_matter_jurisdiction,Biodiversity & Ecosystem Conservation,biodiversity_ecosystem_conservation,,biodiversity | biodiversity; ecosystem; conservation | biodiversity; ecosystem; restoration | biodiversity; ecosystems | conservation | conservation; biodiversity; habitat; habitats | conservation; habitats; conservation; habitat; restoration | ecosystems; conservation,0
subject_matter_jurisdiction,"Trade, Investment & Economic Cooperation",trade_investment_economic_cooperation,,investment | market | shipping | trade | trade; investment | trade; market | trade; market; investment; trade facilitation | trade; trade,0
subject_matter_jurisdiction,"Human Rights, Social Justice & Advocacy",human_rights_social_justice_advocacy,,gender | gender; human rights | gender; livelihoods | human rights | human rights; gender | human rights; human rights | social justice; human rights,0
subject_matter_jurisdiction,Security & Safety,security_safety,,safety; security | safety; security; maritime safety; maritime security | security | security; maritime security,0
subject_matter_jurisdiction,Disaster Risk Reduction & Resilience,disaster_risk_reduction_resilience,,disaster risk reduction | disaster risk reduction; resilience; preparedness | preparedness | resilience,0
subject_matter_jurisdiction,"Cultural Heritage, Traditional Knowledge & Data Governance",cultural_heritage_traditional_knowledge_data_governance,,traditional knowledge,0
sources_of_jurisdiction,Foundational Treaties/Charters,foundational_treaties_charters,,,0
sources_of_jurisdiction,Binding Secondary Law,binding_secondary_law,,decision | decision; decisions | decisions | decisions; decision | decisions; decisions | decisions; regulations | decisions; regulations; directives; regulations; regulation; decisions | regulation,0
sources_of_jurisdiction,Delegated / Derived Powers,delegated_or_derived_powers,,,0
sources_of_jurisdiction,Bilateral/Multilateral Arrangements,bilateral_or_multilateral_arrangements,,,0
