attribute_family,attribute_family_label,category_label,category_slug,tier_weight,example_triggers,schema_status
spatial_jurisdiction,Spatial Jurisdiction,Internal waters,internal_waters,0,,Canonical analysis schema reconstructed from verified family workbooks
spatial_jurisdiction,Spatial Jurisdiction,Coastal Zone,coastal_zone,2,coastal,Canonical analysis schema reconstructed from verified family workbooks
spatial_jurisdiction,Spatial Jurisdiction,Territorial sea (TS),territorial_sea_ts,0,territorial waters,Canonical analysis schema reconstructed from verified family workbooks
spatial_jurisdiction,Spatial Jurisdiction,Contiguous zone (CZ),contiguous_zone_cz,0,,Canonical analysis schema reconstructed from verified family workbooks
spatial_jurisdiction,Spatial Jurisdiction,Exclusive Economic Zone (EEZ),exclusive_economic_zone_eez,0,,Canonical analysis schema reconstructed from verified family workbooks
spatial_jurisdiction,Spatial Jurisdiction,Extended continental shelf (CS),extended_continental_shelf_cs,0,,Canonical analysis schema reconstructed from verified family workbooks
spatial_jurisdiction,Spatial Jurisdiction,The Area,the_area,0,international seabed area | beyond national jurisdiction,Canonical analysis schema reconstructed from verified family workbooks
spatial_jurisdiction,Spatial Jurisdiction,High Seas,high_seas,8,areas beyond national jurisdiction | ABNJ | high seas,Canonical analysis schema reconstructed from verified family workbooks
spatial_jurisdiction,Spatial Jurisdiction,Archipelago,archipelago,3,,Canonical analysis schema reconstructed from verified family workbooks
spatial_jurisdiction,Spatial Jurisdiction,Enclosed or semi-enclosed sea,enclosed_or_semi_enclosed_sea,4,,Canonical analysis schema reconstructed from verified family workbooks
subject_matter_jurisdiction,Subject-Matter Jurisdiction,Environmental Protection & Climate Change,environmental_protection_and_climate_change,0,environment | pollution | climate | marine pollution | environmental | adaptation | emissions | mitigation | Climate | emission,Canonical analysis schema reconstructed from verified family workbooks
subject_matter_jurisdiction,Subject-Matter Jurisdiction,Sustainable Development & Capacity Building,sustainable_development_and_capacity_building,0,capacity development | SDGs | sustainable development | technical assistance | Sustainable Development | capacity building | training | Capacity development,Canonical analysis schema reconstructed from verified family workbooks
subject_matter_jurisdiction,Subject-Matter Jurisdiction,International Cooperation & Governance,international_cooperation_and_governance,0,international cooperation | convention | multilateral | conventions | Conventions | Convention | treaties | Treaty | treaty,Canonical analysis schema reconstructed from verified family workbooks
subject_matter_jurisdiction,Subject-Matter Jurisdiction,"Research, Science & Innovation",research_science_and_innovation,0,observation | data | scientific | research | marine scientific research | innovation | monitoring | science | modelling | Monitoring | Scientific,Canonical analysis schema reconstructed from verified family workbooks
subject_matter_jurisdiction,Subject-Matter Jurisdiction,Biodiversity & Ecosystem Conservation,biodiversity_and_ecosystem_conservation,0,conservation | biodiversity | ecosystems | ecosystem | Habitat | restoration | Conservation | habitats | habitat,Canonical analysis schema reconstructed from verified family workbooks
subject_matter_jurisdiction,Subject-Matter Jurisdiction,"Trade, Investment & Economic Cooperation",trade_investment_and_economic_cooperation,0,shipping | trade | market | investment | trade facilitation | Trade,Canonical analysis schema reconstructed from verified family workbooks
subject_matter_jurisdiction,Subject-Matter Jurisdiction,"Human Rights, Social Justice & Advocacy",human_rights_social_justice_and_advocacy,0,gender | livelihoods | social justice | human rights | Human Rights | Gender,Canonical analysis schema reconstructed from verified family workbooks
subject_matter_jurisdiction,Subject-Matter Jurisdiction,Security & Safety,security_and_safety,0,safety | security | maritime safety | maritime security,Canonical analysis schema reconstructed from verified family workbooks
subject_matter_jurisdiction,Subject-Matter Jurisdiction,Disaster Risk Reduction & Resilience,disaster_risk_reduction_and_resilience,0,resilience | preparedness | disaster risk reduction | Resilience,Canonical analysis schema reconstructed from verified family workbooks
subject_matter_jurisdiction,Subject-Matter Jurisdiction,"Cultural Heritage, Traditional Knowledge & Data Governance",cultural_heritage_traditional_knowledge_and_data_governance,0,traditional knowledge,Canonical analysis schema reconstructed from verified family workbooks
sources_of_jurisdiction,Sources of Jurisdiction or Authority,Foundational Treaties & Charters,foundational_treaties_and_charters,7,constitution | treaties | Constitution | Treaty | treaty | Charter | Treaties | TREATY,Canonical analysis schema reconstructed from verified family workbooks
sources_of_jurisdiction,Sources of Jurisdiction or Authority,Binding Secondary Law,binding_secondary_law,6,regulation | regulations | Regulations | decisions | decision | Decision | Decisions | directives,Canonical analysis schema reconstructed from verified family workbooks
sources_of_jurisdiction,Sources of Jurisdiction or Authority,Non-binding Secondary Law,non_binding_secondary_law,3,Resolution | resolution | Recommendations | Declaration | resolutions | declaration | recommendations | Resolutions | declarations,Canonical analysis schema reconstructed from verified family workbooks
sources_of_jurisdiction,Sources of Jurisdiction or Authority,Technical Norms & Standards,technical_norms_and_standards,0,standards | standard | Standard,Canonical analysis schema reconstructed from verified family workbooks
sources_of_jurisdiction,Sources of Jurisdiction or Authority,Strategic Frameworks,strategic_frameworks,0,framework | frameworks | Framework | action plans | Strategy | strategies | Programme of Action | Strategic Framework,Canonical analysis schema reconstructed from verified family workbooks
sources_of_jurisdiction,Sources of Jurisdiction or Authority,Compliance & Oversight,compliance_and_oversight,0,compliance | monitoring | reporting | Reporting | oversight | Compliance | Compliance Committee,Canonical analysis schema reconstructed from verified family workbooks
sources_of_jurisdiction,Sources of Jurisdiction or Authority,Delegated or Derived Powers,delegated_or_derived_powers,4,delegation,Canonical analysis schema reconstructed from verified family workbooks
sources_of_jurisdiction,Sources of Jurisdiction or Authority,Customary & Soft Law,customary_and_soft_law,0,,Canonical analysis schema reconstructed from verified family workbooks
sources_of_jurisdiction,Sources of Jurisdiction or Authority,Bilateral/Multilateral Arrangements,bilateral_multilateral_arrangements,0,,Canonical analysis schema reconstructed from verified family workbooks
sources_of_jurisdiction,Sources of Jurisdiction or Authority,Other Governance Instruments,other_governance_instruments,0,guidelines,Canonical analysis schema reconstructed from verified family workbooks
defined_objectives,Defined Objectives,Governance & Planning,governance_and_planning,0,governance | mandate | strategic plan | planning,Canonical analysis schema reconstructed from verified family workbooks
defined_objectives,Defined Objectives,Financial Stewardship,financial_stewardship,0,financial | financial management | finance | trust fund | grant,Canonical analysis schema reconstructed from verified family workbooks
defined_objectives,Defined Objectives,Policy & Regulation,policy_and_regulation,0,regulation | law | policy | legal | Law | rules | regulations | normative | Regulations,Canonical analysis schema reconstructed from verified family workbooks
defined_objectives,Defined Objectives,Environmental Action,environmental_action,0,environment | environmental | climate | Climate | adaptation,Canonical analysis schema reconstructed from verified family workbooks
defined_objectives,Defined Objectives,Knowledge & Data,knowledge_and_data,0,research | data | information | monitoring | assessment | observations,Canonical analysis schema reconstructed from verified family workbooks
defined_objectives,Defined Objectives,Innovation & Technology,innovation_and_technology,0,systems | technology | platforms | innovation | tools,Canonical analysis schema reconstructed from verified family workbooks
defined_objectives,Defined Objectives,Inclusion & Rights,inclusion_and_rights,0,participation | Human Rights | human rights | gender | inclusive | Gender | indigenous,Canonical analysis schema reconstructed from verified family workbooks
defined_objectives,Defined Objectives,Partnerships & Networks,partnerships_and_networks,0,coordination | Partnership | partnerships | collaboration | networks,Canonical analysis schema reconstructed from verified family workbooks
defined_objectives,Defined Objectives,Operational Delivery,operational_delivery,0,training | technical assistance | implementation | capacity development | operation | operations,Canonical analysis schema reconstructed from verified family workbooks
defined_objectives,Defined Objectives,Monitoring & Accountability,monitoring_and_accountability,0,reporting | monitoring | indicators | Reporting | accountability,Canonical analysis schema reconstructed from verified family workbooks
strategies,Strategies,Strategic & Institutional Planning,strategic_and_institutional_planning,0,Strategy | roadmap | workplan | strategies | Strategic Plan | strategy | strategic plan | Roadmap | strategic planning | theory of change | results-based management | STRATEGY | Workplan,Canonical analysis schema reconstructed from verified family workbooks
strategies,Strategies,Financial & Budgetary Management,financial_and_budgetary_management,0,budget | Budget | Trust Funds | finance | funding | financial | funds | resource mobilization | Trust Fund | budgeting | grants,Canonical analysis schema reconstructed from verified family workbooks
strategies,Strategies,"Policy, Regulation & Legal Frameworks",policy_regulation_and_legal_frameworks,0,Regulatory | regulatory | law | Law | rules | legal | policy | regulations | Policy | legislation | policy development,Canonical analysis schema reconstructed from verified family workbooks
strategies,Strategies,"Environmental, Climate & Biodiversity Action",environmental_climate_and_biodiversity_action,0,environment | Environment | Pollution | adaptation | mitigation | Environmental | environmental | climate | biodiversity | Climate | Biodiversity,Canonical analysis schema reconstructed from verified family workbooks
strategies,Strategies,"Knowledge, Research & Data Systems",knowledge_research_and_data_systems,0,science | Science | Assessment | data | information | monitoring | Data | observations | assessment | research | Research,Canonical analysis schema reconstructed from verified family workbooks
strategies,Strategies,Innovation & Technology Development,innovation_and_technology_development,0,Innovation | platforms | technology | innovation | digital | systems | tools | model | technology transfer,Canonical analysis schema reconstructed from verified family workbooks
strategies,Strategies,"Inclusion, Rights & Social Justice",inclusion_rights_and_social_justice,0,gender | inclusive | participation | Human Rights | human rights | Gender | indigenous | vulnerable | livelihoods,Canonical analysis schema reconstructed from verified family workbooks
strategies,Strategies,Capacity Development & Operational Delivery,capacity_development_and_operational_delivery,0,Implementation | implementation | field | training | operations | capacity development | capacity building | technical assistance,Canonical analysis schema reconstructed from verified family workbooks
