record_id,run_id,dictionary_version,tagset_version,export_version,timestamp_iso,coder_id,coder_action,igo,attribute_code,attribute_label,indicator_id,indicator_label,doc_family_inferred,evidence_tier,source_type,source_year,source_lang,article_section_page,page_in_pdf,source_uri,coded_value,decision_rationale,review_note,quoted_or_paraphrased,instrument_title,instrument_type,trace_key,retrieval_set,coder_action_std,attribute_code_final,tfidf_cosine,source_title_char_count,source_title_word_count,source_title_sha256,source_excerpt_char_count,source_excerpt_word_count,source_excerpt_sha256,matrix_cell_text_char_count,matrix_cell_text_word_count,matrix_cell_text_sha256,excerpt_full_char_count,excerpt_full_word_count,excerpt_full_sha256,public_text_fields_included,public_release_note
TLF-V6-000001,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-01T09:00:00Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),YE,Year of Establishment,IND_YE_DATE,Formal establishment date (legal basis),Foundational legal instrument,Substantiation/References,Statute/Charter,—,EN,Not specified (see narrative/citations in cell text),—,—,status=accepted; attribute=YE; indicator=YE_date,Checked for construct fit; retained with source pointer.,Founding instrument evidence: creation date recorded (Not specified (see narrative/citations in cell text)); retained as YE substantiation.,—,—,—,c70a53c36f12266c6c6d81fd5c19a33cb5e6e2de,attributes,ACCEPT,YE,0.0,83,10,ce68a6a84baa03a5f8adfb578e2defce8165f751826e068208c776a0307f2fb3,6,1,2a5abd737222f495b05a6584ba5c6aa24953f5e10f9e330d1614b88048eb1a39,6,1,2a5abd737222f495b05a6584ba5c6aa24953f5e10f9e330d1614b88048eb1a39,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000002,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-02T04:30:48Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),SCL,Scale,IND_SCALE_GLOBAL,Global/near-global mandate scale,Foundational legal instrument,Substantiation/References,Statute/Charter,—,EN,Not specified (see narrative/citations in cell text),—,—,status=accepted; attribute=SCL; indicator=SCL_scale_gate,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: evidence of multi-basin/ABNJ remit (Not specified (see narrative/citations in cell text)); retained for Scale field.,—,—,—,da5f84091c0099dbb2bb31a9fa20dd3eac3c8032,scale_gate,ACCEPT,SCL,0.27002604662797214,83,10,ce68a6a84baa03a5f8adfb578e2defce8165f751826e068208c776a0307f2fb3,6,1,a258b30f88c30650e73073d5bdde5cfcc6987100ae62d37789e5c46a0d85b7c6,6,1,a258b30f88c30650e73073d5bdde5cfcc6987100ae62d37789e5c46a0d85b7c6,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000003,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-03T00:01:36Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),SJ,Spatial Jurisdiction,IND_SJ_SCOPE,Geographic scope and ABNJ/high-seas references,External/website,Substantiation/References,Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,https://www.ioc.unesco.org/en).,status=accepted; attribute=SJ; indicator=SJ_scope,Relevant to indicator; retained after contextual read-through.,External portal evidence: SJ coded from explicit EEZ/territorial language (Not specified (see narrative/citations in cell text)); retained for spatial scope.,—,—,—,5ff2d0b59ec5ab5b285984f073d9f4a352d5e60d,attributes,ACCEPT,SJ,0.04275625000920083,4,1,84e5f4c80e86ba32d715479c03633b6a9df383ac7592519ed689a5057732db9c,261,35,7f97cc2b9aaa2b2acf23a653383a0af66aaa9c84481f722ac6c7625e61bc8f06,263,35,5db41b088e58b5c72ef394c7602233cd7bfe2866ba6eaae7b65e97e7d9abbebf,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000004,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-03T19:32:25Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),SMJ,Subject Matter Jurisdiction,IND_SMJ_DOMAIN,Issue domains and functions within remit,External/website,Substantiation/References,Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,https://www.ioc.unesco.org/en).,status=accepted; attribute=SMJ; indicator=SMJ_domain,Relevant to indicator; retained after contextual read-through.,External portal evidence: SMJ coded as issue-domain descriptor (marine/ocean (general)) (Not specified (see narrative/citations in cell text)); separated from governance constructs.,—,—,—,f5df9d72495bbf3ff8c13f7ea380aa0d85aea059,attributes,ACCEPT,SMJ,0.09156059223865178,4,1,84e5f4c80e86ba32d715479c03633b6a9df383ac7592519ed689a5057732db9c,408,50,faa82d7673f55d2995e617be7b7c63180c259299d008a597ef06ba01e365c9fc,672,83,7925d0c62a89e0e540e70629909047fb1b5ae923111f272e6e627edcac799aeb,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000005,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-04T15:03:13Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),SoJ,Source of Jurisdiction,IND_SOJ_LEGAL,Enabling legal instrument and mandate clauses,Foundational legal instrument,Substantiation/References,Statute/Charter,—,EN,Articles,—,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf),status=accepted; attribute=SoJ; indicator=SoJ_article,Checked for construct fit; retained with source pointer.,Founding instrument evidence: legal basis clause captured (Articles); coded as SoJ with citation anchor where available.,—,—,—,175c822fcc8fcf539559deaef68b74b8159d64eb,attributes,ACCEPT,SoJ,0.0,168,20,062005e4e4d50d52988ffdc9ab67acc8ee9b737d7aeeed33c810c38f773775dd,461,49,0c91b0dc885b3de36121898cc6af4c46d6f6ba92fb037229ce440c02cbbdaa76,1387,147,7679a3d1ff24766d4997129ee9c3e2f279314b0b5a2066fdc21f61b092a13e6f,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000006,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-05T10:34:01Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),DO,Defined Objectives,IND_DO_OBJECTIVES,Stated objectives/purpose and institutional goals,Foundational legal instrument,Substantiation/References,Statute/Charter,—,EN,Articles,—,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf)),status=accepted; attribute=DO; indicator=DO_purpose,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: institutional purpose articulated (Articles); coded under DO (distinct from STR).,—,—,—,4f2d876c930cb640ebaa83952c32100bf44026a2,attributes,ACCEPT,DO,0.01724244578822154,125,19,ef7e67dbec419ad55c7b93b54433b3858a598ed3ac9b31199da70b4a9a4fdcb6,350,50,c8e7c32e1f96ac94d5ff0bd170745e0b24006c8d3637ce80e2b97432c97daad0,1192,157,134ec05c5df9b8ad9d9d99f88c9dcd8a15fefe9c04c74df6997c8e009068674c,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000007,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-06T06:04:50Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),STR,Strategies,IND_STR_INSTRUMENTS,Instrument families and strategy portfolio,External/website,Substantiation/References,Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,"https://unesdoc.unesco.org/ark:/48223/pf0000381388.locale=en),",status=accepted; attribute=STR; indicator=STR_family,Relevant to indicator; retained after contextual read-through.,External portal evidence: strategy instrument evidence captured (Not specified (see narrative/citations in cell text)); classified to 'mixed strategy references' family for STR.,—,—,—,43bd7bfc4289d66c4bd7c11029bc77548838323d,attributes,ACCEPT,STR,0.019415904885556882,24,1,d52c4fa7091fc35e765496bc86fde04ed8fa6d0c8da5a4286fba4f303cef45ab,397,50,39f260e601624b745f829d0f2580e6474f45e898f358877c15c2ee5b766006fc,1561,196,b16154b1e5052ed00f62e95302c0731f49b0c3a1b3f9ed32bd4bd012852ed7e4,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000008,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-07T01:35:38Z,IA,Accept,Food and Agriculture Organization of the United Nations (FAO),YE,Year of Establishment,IND_YE_DATE,Formal establishment date (legal basis),Foundational legal instrument,Substantiation/References,Constitution,—,EN,Not specified (see narrative/citations in cell text),—,—,status=accepted; attribute=YE; indicator=YE_date,Substantiates matrix value; citation anchors preserved.,Founding instrument evidence: establishment year captured (Not specified (see narrative/citations in cell text)); value standardised for matrix cell.,—,—,—,19ecaa3aa9b2fa2665ac4db45bb97e4ab1af8762,attributes,ACCEPT,YE,0.0,75,11,32cbdcd229720f313804cc9c97e2cd7f514b90e160f5430fd9e3fd7deecea083,6,1,74db88ac0f3b16183990f0dade5ab9a5d53c9faaaed7c6c497797327f3e944d4,6,1,74db88ac0f3b16183990f0dade5ab9a5d53c9faaaed7c6c497797327f3e944d4,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000009,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-07T21:06:26Z,IA,Accept,Food and Agriculture Organization of the United Nations (FAO),SCL,Scale,IND_SCALE_GLOBAL,Global/near-global mandate scale,Foundational legal instrument,Substantiation/References,Constitution,—,EN,Not specified (see narrative/citations in cell text),—,—,status=accepted; attribute=SCL; indicator=SCL_scale_gate,Substantiates matrix value; citation anchors preserved.,Founding instrument evidence: global mandate support (membership/remit) captured (Not specified (see narrative/citations in cell text)); used for scale gate/descriptor.,—,—,—,755088ecdae748d96e0511e1e16418a2158bb95f,scale_gate,ACCEPT,SCL,0.27002604662797214,75,11,32cbdcd229720f313804cc9c97e2cd7f514b90e160f5430fd9e3fd7deecea083,6,1,a258b30f88c30650e73073d5bdde5cfcc6987100ae62d37789e5c46a0d85b7c6,6,1,a258b30f88c30650e73073d5bdde5cfcc6987100ae62d37789e5c46a0d85b7c6,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000010,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-08T16:37:15Z,IA,Accept,Food and Agriculture Organization of the United Nations (FAO),SJ,Spatial Jurisdiction,IND_SJ_SCOPE,Geographic scope and ABNJ/high-seas references,External/website,Substantiation/References,Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,https://www.fao.org/cwp-on-fishery-statistics/handbook/general-concepts/main-water-areas/en/),status=accepted; attribute=SJ; indicator=SJ_scope,Founding text silent/dated; operational evidence sourced from official portal.,External portal evidence: jurisdictional geography stated (Not specified (see narrative/citations in cell text)); retained for SJ substantiation.,—,—,—,b63abc3b286f2545bb8e83108adc47766868e46d,attributes,ACCEPT,SJ,0.028176569186493042,1,0,ba5ec51d07a4ac0e951608704431d59a02b21a4e951acc10505a8dc407c501ee,321,50,7f12f698b3dfca4235ba17c5ae46e46914c12112af1d8808ea904f1d3227ddd1,540,70,0784c319f15ad746ebf42cf0d0eafd1cce70e40e3b9257c4ad105bf7fb5a3449,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
