archive_path,source_name,stage,data_product,description,file_type,size_bytes,sha256
00_readme_and_manifest/CHAPTER3_COUNT_RECONCILIATION.md,CHAPTER3_COUNT_RECONCILIATION.md,Stage 1,Literature screening reconciliation,Evidence-based reconciliation of the 100 → 90 → 79 literature-screening funnel.,md,4442,4cab8dff6b8f24f301f53d1a34c4e5e7ee3c9a1b33cca7a68e2f8301ce85ef1f
00_readme_and_manifest/RELEASE_NOTES_v1.1.0.md,RELEASE_NOTES_v1.1.0.md,Archive,Release documentation,Changes introduced in reconciled archive release v1.1.0.,md,1083,3b1db3e41b25b9a2fcfb9bfb49d98ecc67fe772f2171d6fbe6222c3c717d450a
00_readme_and_manifest/VALIDATION_REPORT_v1.1.0.txt,VALIDATION_REPORT_v1.1.0.txt,Archive,Validation documentation,Compact validation report for the reconciled Stage 1 counts and machine-readable outputs.,txt,765,85f3dea2b9d05a82f73524f84cd7742848ea24ab226ca5c1de480c870077a928
00_readme_and_manifest/ch3_data_archive_structure.csv,ch3_data_archive_structure.csv,Archive,Archive documentation,High-level folder map and purpose statement.,csv,777,43e5e31afec47bbaf913c76832d69ac9a1f8a5be9d1357186af8074b38c3a989
01_stage1_literature_evidence/Stage1_Excluded_FullText_Records_11.csv,Stage1_Excluded_FullText_Records_11.csv,Stage 1,Full-text exclusion set,Eleven candidate records absent from the final 79-publication included corpus.,csv,4085,76bd44a5703384408f260da252575cf0c0113d88a977d760a5661a4f47122b3b
01_stage1_literature_evidence/Stage1_FullText_Assessed_Reconciled_90.csv,Stage1_FullText_Assessed_Reconciled_90.csv,Stage 1,Reconciled full-text assessment set,"Record-level union of 90 publications assessed at full text, with source-sheet provenance and inclusion status.",csv,24461,2e9a596e3235ff182a98f661281f699430d92cfca6c425cc8f37eb04c4129a92
01_stage1_literature_evidence/Stage1_Literature_Count_Reconciliation.csv,Stage1_Literature_Count_Reconciliation.csv,Stage 1,Literature screening reconciliation,Machine-readable summary of the reconciled screening counts and evidentiary limitations.,csv,1564,4ba794fb9fbc366e7cca4916a53237a9bc0f6559f71dfc073cff380219fa12a7
01_stage1_literature_evidence/Stage1_Literature_Evidence_ReadFirst.xlsx,Stage 1_Literature Review_ReadFirst.xlsx,Stage 1,Literature Evidence Dataset,Stage 1 literature review notes and search/screening overview.,xlsx,41686,1befc1ea62d67790030827fff946339d3a9bdcf698880c29d0cc3ea002c14647
01_stage1_literature_evidence/Stage1_Manual_Seed_Theme_Provenance.xlsx,Part I_Content Analysis_Manual_Seed Themes_S2_Authors_DOI.xlsx,Stage 1,Provisional Seed Theme Scaffold,"Manual seed-theme provenance, article metadata, authors, and DOI fields.",xlsx,48124,88d729296aebc5a9ebc09601ae95683250ff4bc21dcc318573eec29d05f7b858
02_stage2_governance_theme_dataset/Stage2_Governance_Theme_Dataset_Workbook.xlsx,Stage2_Python_Outputs.xlsx,Stage 2,Governance Theme Dataset,"Consolidated Stage 2 workbook containing theme inventory, synonym outputs, stop-list, and run diagnostics.",xlsx,4195883,b1705205738dda810e2b7307b7ab895171a65cf954a19c273194d0247dbfc1c2
